title,author,user_rating,published_year,avg_rating,ratings_count
"Harry Potter and the Deathly Hallows(Harry Potter, #7)","Rowling, J.K.",5,2007,4.62,3956590
"Harry Potter and the Prisoner of Azkaban(Harry Potter, #3)","Rowling, J.K.",5,1999,4.58,4590328
The Shadowhunter's Codex,"Clare, Cassandra",4,2013,3.9,39192
The Bane Chronicles,"Clare, Cassandra",4,2014,4.08,104529
"Clockwork Princess(The Infernal Devices, #3)","Clare, Cassandra",5,2013,4.55,465601
"City of Heavenly Fire(The Mortal Instruments, #6)","Clare, Cassandra",4,2014,4.38,404446
"City of Lost Souls(The Mortal Instruments, #5)","Clare, Cassandra",3,2012,4.21,554325
"City of Fallen Angels(The Mortal Instruments, #4)","Clare, Cassandra",3,2011,4.07,626343
"City of Ashes(The Mortal Instruments, #2)","Clare, Cassandra",3,2008,4.11,972842
"Our Dark Duet(Monsters of Verity, #2)","Schwab, Victoria",2,2017,4.13,58570
"Shatter Me(Shatter Me, #1)","Mafi, Tahereh",2,2011,3.84,1097544
"Unravel Me(Shatter Me, #2)","Mafi, Tahereh",3,2013,4.11,680918
"Hush, Hush(Hush, Hush, #1)","Fitzpatrick, Becca",4,2009,3.92,730692
"Clockwork Angel(The Infernal Devices, #1)","Clare, Cassandra",4,2010,4.31,859937
"The Winner's Curse(The Winner's Trilogy, #1)","Rutkoski, Marie",3,2014,3.95,112941
"Shadow and Bone(Shadow and Bone, #1)","Bardugo, Leigh",4,2012,3.92,1040466
"To All the Boys I've Loved Before(To All the Boys I've Loved Before, #1)","Han, Jenny",4,2014,4.04,995827
"The Titan’s Curse(Percy Jackson and the Olympians, #3)","Riordan, Rick",4,2007,4.37,1157845
"City of Glass(The Mortal Instruments, #3)","Clare, Cassandra",5,2009,4.27,995930
"Divergent(Divergent, #1)","Roth, Veronica",3,2011,4.14,4232369
"The Raven Boys(The Raven Cycle, #1)","Stiefvater, Maggie",4,2012,4.05,389686
"The Gentleman's Guide to Vice and Virtue(Montague Siblings, #1)","Lee, Mackenzi",5,2017,4.03,142753
"The Retribution of Mara Dyer(Mara Dyer, #3)","Hodkin, Michelle",3,2014,4.06,63630
"Lady Midnight(The Dark Artifices, #1)","Clare, Cassandra",5,2016,4.35,238522
The Song of Achilles,"Miller, Madeline",5,2011,4.31,1787180
I'll Give You the Sun,"Nelson, Jandy",4,2014,4.15,350119
"Simon vs. the Homo Sapiens Agenda(Simonverse, #1)","Albertalli, Becky",5,2015,4.14,458713
The Fault in Our Stars,"Green, John",3,2012,4.13,5502009
"Days of Blood & Starlight(Daughter of Smoke & Bone, #2)","Taylor, Laini",4,2012,4.14,168608
"Silence(Hush, Hush, #3)","Fitzpatrick, Becca",4,2011,4.07,291296
"Clockwork Prince(The Infernal Devices, #2)","Clare, Cassandra",5,2011,4.42,573451
"The Hunger Games(The Hunger Games, #1)","Collins, Suzanne",4,2008,4.34,9390123
"A Court of Thorns and Roses(A Court of Thorns and Roses, #1)","Maas, Sarah J.",3,2015,4.17,3670234
"Ignite Me(Shatter Me, #3)","Mafi, Tahereh",4,2014,4.45,600666
"Daughter of Smoke & Bone(Daughter of Smoke & Bone, #1)","Taylor, Laini",3,2011,3.99,379753
"City of Bones(The Mortal Instruments, #1)","Clare, Cassandra",3,2007,4.07,2105872
"Miss Peregrine's Home for Peculiar Children(Miss Peregrine's Peculiar Children, #1)","Riggs, Ransom",3,2011,3.92,1324003
"Twilight(The Twilight Saga, #1)","Meyer, Stephenie",4,2005,3.66,7030181
"The Lightning Thief(Percy Jackson and the Olympians, #1)","Riordan, Rick",5,2005,4.31,3281059
Eragon(The Inheritance Cycle #1),"Paolini, Christopher",3,2002,3.96,1880151
"A Game of Thrones(A Song of Ice and Fire, #1)","Martin, George R.R.",4,1996,4.45,2640538
"The Mark of Athena(The Heroes of Olympus, #3)","Riordan, Rick",3,2012,4.47,648886
"Harry Potter and the Sorcerer's Stone(Harry Potter, #1)","Rowling, J.K.",4,1997,4.47,10885686
